State	SAT	ACT	SAT_pays	ACT_Pays	
Alabama	0	2	0	1	
Alaska	0	0	0	0	
Arizona	1	0	0	0	
Arkansas	0	1	0	1	
California	0	0	0	0	
Colorado	2	0	1	1	
Connecticut	2	0	1	0	
Delaware	2	0	1	0	
District of Columbia	2	0	1	0	
Maryland	1	0	0	0	
Florida	1	0	0	0	
Georgia	0	0	0	0	
Hawaii	0	2	0	1	
Idaho	2	0	0	0	
Oregon	0	0	0	0	
Illinois	2	0	1	0	
Indiana	0	0	0	0	
Iowa	0	0	0	0	
Kansas	0	1	0	0	
Kentucky	0	2	0	1	
Louisiana	0	2	0	1	
Maine	2	0	1	0	
Massachusetts	0	0	0	0	
Michigan	2	0	1	0	
Minnesota	1	0	0	0	
Mississippi	0	2	0	1	
Missouri	0	1	0	1	
Montana	0	2	0	1	
Nebraska	0	2	0	1	
Nevada	0	2	0	1	
New Hampshire	2	0	1	0	
New Jersey	0	0	0	0	
New Mexico	0	0	0	0	
New York	1	0	0	0	
North Carolina	0	2	0	1	
North Dakota	0	2	0	0	
Ohio	2	1	0	1	
Oklahoma	2	1	1	1	
Pennsylvania	0	0	0	0	
Rhode Island	2	0	0	0	
South Carolina	2	1	0	1	
South Dakota	0	0	0	0	
Tennessee	2	1	0	0	
Texas	1	0	0	0	
Utah	0	2	0	1	
Vermont	0	0	0	0	
Virginia	0	0	0	0	
Washington	0	0	0	0	
West Virginia	2	0	0	0	
Wisconsin	0	2	0	1	
Wyoming	0	2	0	1	
